artist,title,lyrics,description,release date,year
the beach boys,good vibrations,"
ii love the colorful clothes she wears
and the way the sunlight plays upon her hair
i hear the sound of a gentle word
on the wind that lifts her perfume through the air

im pickin up good vibrations
shes giving me excitations (oom bop bop)
im pickin up good vibrations (good vibrations bop bop)
shes giving me excitations (excitations bop bop)
im pickin up good vibrations (good vibrations bop bop)
shes giving me excitations (excitations bop bop)
im pickin up good vibrations (good vibrations bop bop)
shes giving me excitations (excitations)

close my eyes shes somehow closer now
softly smile i know she must be kind
when i look in her eyes
she goes with me to a blossom world

im pickin up good vibrations
shes giving me excitations (oom bop bop)
im pickin up good vibrations (good vibrations bop bop)
shes giving me excitations (excitations bop bop)
im pickin up good vibrations (good vibrations bop bop)
shes giving me excitations (excitations bop bop)
im pickin up good vibrations (good vibrations bop bop)
shes giving me excitations (exci  tations)
(ahh)
(ah my my what elation)
i dont know where but she sends me there
(oh my my what a sensation)
(oh my my what elation)
(oh my my what)

gotta keep those lovin good vibrations ahappenin with her
gotta keep those lovin good vibrations ahappenin with her
gotta keep those lovin good vibrations ahappenin
(ahh)

good good good good vibrations (oom bop bop)
(im pickin up good vibrations) (good vibrations bop bop)
shes giving me excitations (excitations bop bop)
good good good good vibrations

na na na na na na na na
na na na na na na na na (ba da da duh da da)
na na na na na na na na (ba da da duh da da)
na na na na na na na na (ba da da duh da da)","The Beach Boys' Brian Wilson recounted the genesis of the title “Good Vibrations” in his 1995 biopic, I Just Wasn’t Made for These Times, and at other times. When he was a child, his mother told him that dogs could pick up “vibrations” from people, so that the dog would bark at “bad vibrations”. Wilson turned this into the general idea of vibrations (and Mike Love putting “good” in front of vibrations), and developed the idea of people being able to do the same with emotions.

This song is revolutionary in a couple of ways. Firstly, the song is a for the time unusual form:
A B A' B C D B E
There is a lot of new material (C, D and E), where most previous songs only had A’s and B’s and sometimes a bridge. Furthermore, these new parts are not in obvious ways musically connected to previous parts.
Second, there is a ton of instruments that were completely new to this type of music, most notably an Electro-Theremin. This song and the album Pet Sounds in general greatly influenced the Beatles, which resulted in Sgt. Pepper.","October 10, 1966",1966
the monkees,daydream believer,"
chip 7a
davy what number is this chip
other 3 monkees 7a
davy ok know what i mean like dont get excited man its cos im short i know

oh i could hide neath the wings
of the bluebird as she sings
the six oclock alarm would never ring
but it rings and i rise
wipe the sleep out of my eyes
my shavin razors cold and it stings

cheer up sleepy jean
oh what can it mean
to a daydream believer
and a homecoming queen

you once thought of me
as a white knight on his steed
now you know how happy i can be
oh and our good times starts and end
without dollar one to spend
but how much baby do we really need
cheer up sleepy jean
oh what can it mean
to a daydream believer
and a homecoming queen

cheer up sleepy jean
oh what can it mean
to a daydream believer
and a homecoming queen


cheer up sleepy jean
oh what can it mean
to a daydream believer
and a homecoming queen

cheer up sleepy jean
oh what can it mean
to a daydream believer
and a homecoming queen","The last No. 1 song by the American answer to The Beatles. it was written by the very prolific ex-Kingston Trio member John Stewart.



It was recorded in 1967, and can be found on the album The Birds, The Bees, & The Monkees. It was one of the last mono albums to be produced, and an original version is a collector’s item now.","October 25, 1967",1967
the monkees,i’m a believer,"
i thought love was only true in fairy tales
meant for someone else but not for me
love was out to get me
thats the way it seemed
disappointment haunted all my dreams

then i saw her face now im a believer
not a trace of doubt in my mind
im in love
im a believer i couldnt leave her if i tried

i thought love was more or less a givin thing
seems the more i gave the less i got
whats the use in tryin
all you get is pain
when i needed sunshine i got rain

then i saw her face now im a believer
not a trace of doubt in my mind
im in love
im a believer i couldnt leave her if i tried

love was out to get me
thats the way it seemed
disappointment haunted all my dreams

then i saw her face now im a believer
not a trace of doubt in my mind
im in love
im a believer i couldnt leave her if i tried

then i saw her face now im a believer
not a trace of doubt in my mind
and im a believer yeah yeah yeah yeah yeah
im a believer","This was a Number One hit, released at the end of 1966.
It was sung by Micky Dolenz and written by Neil Diamond.
It appeared on the second Monkees album, More of the Monkees.","November 12, 1966",1966
the monkees,me & magdalena,"
me and magdalena
were driving south through monterey
as the sun is slowly sinking
into a distant ocean wave

and i dont know if ive ever loved any other
half as much as i do in this light shes under

tell me magdalena
what do you see in the depths of your night
do you see a long lost father
does he hold you with the hands you remember as a child

but know everything lost will be recovered
when you drift into the arms of the undiscovered
and i dont know if ive ever loved any other
half as much as i do in this light shes under

me and magdalena
always leaving early and sleeping late
secluded in the canyon
lost within a turn of fate
but know everything lost will be recovered
when you drift into the arms of the undiscovered
and i dont know if ive ever loved any other
half as much as i do in this light shes under",?,2016,2016
the monkees,randy scouse git,"{intro}
shes a wonderful lady and shes mine all mine
and there doesnt seem a way that she wont come and lose my mind
its too easy humming songs to a girl in a yellow dress
its been a long time since the party and the room is in a mess
the four kings of emi are sitting stately on the floor
there are birds out on the sidewalk and a valet at the door
he reminds me of a penguin with few and plastered hair
theres talcum powder on the letter and the birthday boy is there
why dont you cut your hair
why dont you live up there
why dont you do what i do
see what i feel when i care
now theyve darkened all the windows and the seats are naugahide
ive been waiting for an hour i cant find a place to hide
the being known as wonder girl is speaking i believe
its not easy trying to tell her that i shortly have to leave
why dont you be like me
why dont you stop and see
why dont you hate who i hate
kill who i kill to be free
{vocal bridge}
why dont you cut your hair
why dont you live up there
why dont you do what i do
see what i feel when i care
why dont you be like me (shes a wonderful lady)
why dont you stop and see (and shes mine all mine)
why dont you hate who i hate (and there doesnt seem a way)
kill who i kill to be free (that she wont come and lose my mind)
why dont you cut your hair (its too easy humming songs)
why dont you live up there (to a girl in a yellow dress)
why dont you do what i do (its been a long time since the party)
see what i feel when i care (and the room is in a mess)","The song was written in 1967 by Micky Dolenz.
It was released as a single in England only, under the name “Alternate Title”.



The “Alternate Title” was due to the rowdy meaning of the original title – Randy Scouse Git – according to The Urban Dictionary – “…translates into ""Horny Liverpuedlian Jerk”

The song was written in England with many references to British and other pop personalities, such as The Beatles.","May 22, 1967",1967
elvis presley,can’t help falling in love,"
wise men say only fools rush in
but i cant help falling in love with you

shall i stay would it be a sin
if i cant help falling in love with you

like a river flows
surely to the sea
darling so it goes
some things are meant to be

take my hand take my whole life too
for i cant help falling in love with you

like a river flows
surely to the sea
darling so it goes
some things are meant to be

take my hand take my whole life too
for i cant help falling in love with you
for i cant help falling in love with you","A tender ballad about being unable to resist falling in love, “Can’t Help Falling in Love” is one of Elvis' most famous and romantic songs. Originally recorded to tie along with his movie, Blue Hawaii, the song has since been covered by various other artists, from U2 and Britney Spears to twenty one pilots. Rolling Stone ranked it as the 5th best Elvis song of all time, and it was also ranked as the 50th most popular wedding song by Billboard magazine.","October 1, 1961",1961
elvis presley,jailhouse rock,"
the warden threw a party in the county jail
the prison band was there and they began to wail
the band was jumping and the joint began to swing
you shoulda heard those knocked out jailbirds sing

lets rock everybody lets rock
everybody in the whole cell block
was dancing to the jailhouse rock

spider murphy played the tenor saxophone
little joey blowing on the slide trombone
the drummer boy from illinois went crash boom bang
the whole rhythm section was the purple gang

lets rock everybody lets rock
everybody in the whole cell block
was dancing to the jailhouse rock

number fortyseven said to number three
""you the cutest jailbird i ever did see
i sure would be delighted with your company
come on and do the jailhouse rock with me""
lets rock everybody lets rock
everybody in the whole cell block
was dancing to the jailhouse rock
rock rock rock
{guitar solo}

sad sack was sitting on a block of stone
way over in the corner weeping all alone
the warden said ""hey buddy dont you be no square
you cant find a partner use a wooden chair""

lets rock everybody lets rock
everybody in the whole cell block
was dancing to the jailhouse rock

shifty henry said to bugs ""for heavens sake
no ones looking nows our chance to make a break""
bugsy turned to shifty and he said ""nix nix
i wanna stick around a while and get my kicks""

lets rock everybody lets rock
everybody in the whole cell block
was dancing to the jailhouse rock
dancing to the jailhouse rock
dancing to the jailhouse rock
dancing to the jailhouse rock
dancing to the jailhouse rock","“Jailhouse Rock” is a song written by Jerry Leiber and Mike Stoller. The song was released as a 45rpm single on September 24, 1957, to coincide with the release of Presley’s motion picture, Jailhouse Rock.","September 24, 1957",1957
elvis presley,love me tender,"
love me tender love me sweet
never let me go
you have made my life complete
and i love you so

love me tender love me true
all my dreams fulfilled
for my darling i love you
and i always will

love me tender love me long
take me to your heart
for its there that i belong
and well never part

love me tender love me true
all my dreams fulfilled
for my darling i love you
and i always will

love me tender love me dear
tell me you are mine
ill be yours through all the years
til the end of time
love me tender love me true
all my dreams fulfilled
for my darling i love you
and i always will","Remembered as the first theme song of 31 Elvis movies, originally titled The Reno Brothers.

The melody for this song was lifted from a civil war ballad known as Aura Lee. It was exceptionally lyrical and much more colorful words:

“Aura Lea, Aura Lea
Maid with golden hair;
Sunshine came along with thee
And swallows in the air.”","September 28, 1956",1956
elvis presley,hound dog,"
you aint nothin but a hound dog
cryin all the time
you aint nothin but a hound dog
cryin all the time
well you aint never caught a rabbit
and you aint no friend of mine

when they said you was high classed
well that was just a lie
yeah they said you was high classed
well that was just a lie
yeah you aint never caught a rabbit
and you aint no friend of mine

you aint nothin but a hound dog
cryin all the time
you aint nothin but a hound dog
cryin all the time
well you aint never caught a rabbit
and you aint no friend of mine

ahh ahh
ahh ahh
when they said you was high classed
well that was just a lie
yeah they said you was high classed
well that was just a lie
well you aint never caught a rabbit
and you aint no friend of mine

ahh ahh
ahh ahh

when they said you was high classed
well that was just a lie
you know they said you was high classed
well that was just a lie
yeah you aint never caught a rabbit
and you aint no friend of mine

you aint nothin but a hound dog
cryin all the time
you aint nothin but a hound dog
cryin all the time
well you aint never caught a rabbit
you aint no friend of mine","This song was written by the team of Jerry Leiber and Mike Stoller, and first recorded by Big Mama Thornton in 1952. Leiber claims that writing the tune took “like twelve minutes.” Thornton’s version, below:

http://www.youtube.com/watch?v=Q8_k9LEUBeQ#t=0m03s","July 13, 1956",1956
elton john,your song,"
its a little bit funny this feeling inside
im not one of those who can easily hide
i dont have much money but boy if i did
id buy a big house where we both could live
if i was a sculptor heh but then again no
or a man who makes potions in a traveling show
i know its not much but its the best i can do
my gift is my song and this ones for you

and you can tell everybody this is your song
it may be quite simple but now that its done
i hope you dont mind i hope you dont mind
that i put down in the words
how wonderful life is while youre in the world

i sat on the roof and kicked off the moss
well a few of the verses well theyve got me quite cross
but the suns been quite kind while i wrote this song
its for people like you that keep it turned on
so excuse me forgetting but these things i do
you see ive forgotten if theyre green or theyre blue
anyway the thing is what i really mean
yours are the sweetest eyes ive ever seen
and you can tell everybody this is your song
it may be quite simple but now that its done
i hope you dont mind i hope you dont mind
that i put down in the words
how wonderful life is while youre in the world

i hope you dont mind i hope you dont mind
that i put down in the words
how wonderful life is while youre in the world","The song was composed and performed by Elton John but the lyrics were written by Bernie Taupin. It originally appeared in his self titled and second album.

Elton John hadn’t come out of the closet yet, but Bernie Taupin knew, which is part of the reason why the lyrics avoid using gendered pronouns.","April 10, 1970",1970
elton john,"rocket man (i think it’s going to be a long, long time)","
she packed my bags last night preflight
zero hour 900 am
and im gonna be high as a kite by then
i miss the earth so much i miss my wife
its lonely out in space
on such a timeless flight

and i think its gonna be a long long time
til touchdown brings me round again to find
im not the man they think i am at home
oh no no no
im a rocket man
rocket man
burning out his fuse up here alone
and i think its gonna be a long long time
til touchdown brings me round again to find
im not the man they think i am at home
oh no no no
im a rocket man
rocket man
burning out his fuse up here alone

mars aint the kind of place to raise your kids
in fact its cold as hell
and theres no one there to raise them if you did
and all the science i dont understand
its just my job five days a week
a rocket man
a rocket man
and i think its gonna be a long long time
til touchdown brings me round again to find
im not the man they think i am at home
oh no no no
im a rocket man
rocket man
burning out his fuse up here alone
and i think its gonna be a long long time
til touchdown brings me round again to find
im not the man they think i am at home
oh no no no
im a rocket man
rocket man
burning out his fuse up here alone

and i think its gonna be a long long time
and i think its gonna be a long long time
and i think its gonna be a long long time
and i think its gonna be a long long time
and i think its gonna be a long long time
and i think its gonna be a long long time
and i think its gonna be a long long time
and i think its gonna be a long long time
and i think its gonna be a long long time","Following “Space Oddity”, by the same producer, Elton John sings the tale of an astronaut, for whom space exploration is just his daily job.  Bernie Taupin wrote the song inspired by the Ray Bradbury story “The Rocket Man”, from his book The Illustrated Man.

(given it was penned during the 1970s drug era,  people can still see it serve as an extended metaphor comparing fame to space travel – turning into a rock star made Elton John feel like he was floating in space! Free!)","March 3, 1972",1972
elton john,bennie and the jets,"
hey kids shake it loose together
the spotlights hitting something
thats been known to change the weather
well kill the fatted calf tonight so stick around
youre gonna hear electric music solid walls of sound

say candy and ronnie have you seen them yet
ooh but theyre so spaced out
bbbbennie and the jets
oh but theyre weird and theyre wonderful
oh bennie shes really keen

shes got electric boots a mohair suit
you know i read it in a magazine oh
bbbbennie and the jets

hey kids plug into the faithless
maybe theyre blinded but bennie makes them ageless
we shall survive let us take ourselves along
where we fight our parents out in the streets
to find whos right and whos wrong
say candy and ronnie have you seen them yet
ooh but theyre so spaced out
bbbbennie and the jets
oh but theyre weird and theyre wonderful
oh bennie shes really keen

shes got electric boots
a mohair suit
you know i read it in a magazine oh
bbbbennie and the jets

oh candy and ronnie have you seen them yet
oh but theyre so spaced out
bbbbbbennie and the jets
oh but theyre weird and theyre wonderful
oh bennie shes really keen

shes got electric boots a mohair suit
you know i read it in a magazine
bbbbennie and the jets

bennie bennie and the jets
bennie bennie bennie bennie and the jets
bennie bennie bennie bennie bennie and the jets
bennie bennie bennie bennie and the jets
bennie bennie bennie bennie bennie bennie bennie bennie and the jets the jets the jets
bennie bennie bennie bennie bennie bennie bennie bennie bennie bennie bennie and the jets","“Bennie and the Jets” is a song composed by Elton John and Bernie Taupin. The song tells of “Bennie and the Jets”, a fictional band of whom Elton John is a supposed fan. In interviews, Taupin has said that the song’s lyrics are a satire on the music industry of the 1970s.

Producer Gus Dudgeon, in keeping with the theme of a band that’s more show than substance, hit upon the idea of turning the original studio track into a fake live song, by simulating crowd noise.","February 4, 1974",1974
elton john,goodbye yellow brick road,"
when are you gonna come down
when are you going to land
i should have stayed on the farm
i should have listened to my old man
you know you cant hold me forever
i didnt sign up with you
im not a present for your friends to open
this boys too young to be singing the blues

ah ahah ahah
ahahah ah

so goodbye yellow brick road
where the dogs of society howl
you cant plant me in your penthouse
im going back to my plough
back to the howling old owl in the woods
hunting the hornyback toad
oh ive finally decided my future lies
beyond the yellow brick road

ah ahah ahah
ahahah ah
what do you think youll do then
i bet theyll shoot down the plane
itll take you a couple of vodka and tonics
to set you on your feet again
maybe youll get a replacement
theres plenty like me to be found
mongrels who aint got a penny
sniffing for tidbits like you on the ground

ah ahah ahah
ahahah ah

so goodbye yellow brick road
where the dogs of society howl
you cant plant me in your penthouse
im going back to my plough
back to the howling old owl in the woods
hunting the hornyback toad
oh ive finally decided my future lies
beyond the yellow brick road

ah ahah ahah
ahahah ah","The fourth track on Elton John’s 1973 double album of the same name, and the second single from the album. Written by Elton and his co-songwriter Bernie Taupin, “Goodbye Yellow Brick Road” is about wanting to give up a life of opulence for a simpler life away from all the glitz and glamour. Since Elton himself was living deep in the high life at the time, it can be said that this message is more relevant to Bernie than Elton, for he was often the guy that preferred to keep it low key compared to his more famous partner.

It is one of Elton John’s most famous and commercially successful singles, topping the Canadian RPM 100 Top Singles Chart and peaking at #2 on the US Billboard Top 100. It’s also considered one of the best songs he’s ever made.","October 5, 1973",1973
cyndi lauper,time after time,"
lying in my bed
i hear the clock tick and think of you
caught up in circles
confusion is nothing new
flashback warm nights
almost left behind
suitcase of memories
time after—

sometimes you picture me
im walking too far ahead
youre calling to me
i cant hear what youve said
then you say ""go slow""
i fall behind
the second hand unwinds

if youre lost you can look and you will find me
time after time
if you fall i will catch you ill be waiting
time after time
if youre lost you can look and you will find me
time after time
if you fall i will catch you ill be waiting (i will be waiting)
time after time
after my picture fades
and darkness has turned to gray
watching through windows
youre wondering if im okay
secrets stolen from deep inside
the drum beats out of time

if youre lost you can look and you will find me
time after time
if you fall i will catch you ill be waiting
time after time


you said ""go slow""
i fall behind
the second hand unwinds

if youre lost you can look and you will find me
time after time
if you fall i will catch you ill be waiting
time after time
if youre lost you can look and you will find me
time after time
if you fall i will catch you ill be waiting (i will be waiting)
time after time
time after time
time after time
time after time
time after time
time after time
time after time
time after time
time after time
time after time
time after time","Written by Lauper, with assistance from Rob Hyman, “Time After Time” is one of the all-time great love ballads. It was Lauper’s first #1 hit and arguably her signature song.

After Lauper had already recorded the large majority of her debut album—She’s So Unusual—her producer Rick Chertoff insisted she needed “one more song.” Chertoff introduced her to Hyman and they began working on the song.

Lauper came up with the title while reading TV Guide—Time After Time was a 1979 science fiction movie starring Malcolm McDowell as H. G. Wells, portraying him inventing a time traveling machine.

Lauper’s label initially wanted this song to be her first single before she convinced them to go with “Girls Just Want To Have Fun.” In her memoir, Lauper recounts:

When the album was completed, the label wanted the first single to be “Time After Time.” But I kept saying to them, “Listen to me—releasing a ballad first defines you in a certain way. You become known as a balladeer, and it can kill your career.”","January 27, 1984",1984
cyndi lauper,true colors,"
you with the sad eyes
dont be discouraged
oh i realize
its hard to take courage
in a world full of people
you can lose sight of it all
and the darkness inside you
can make you feel so small

but i see your true colors
shining through
i see your true colors
and thats why i love you
so dont be afraid to let them show
your true colors
true colors are beautiful
like a rainbow

show me a smile then
dont be unhappy
cant remember when
i last saw you laughing
if this world makes you crazy
and youve taken all you can bear
you call me up
because you know ill be there
and ill see your true colors
shining through
i see your true colors
and thats why i love you
so dont be afraid to let them show
your true colors
true colors are beautiful
like a rainbow

cant remember when i last saw you laugh

if this world makes you crazy
youve taken all you can bear
you call me up
because you know ill be there

and ill see your true colors
shining through
i see your true colors
and thats why i love you
so dont be afraid to let them show
your true colors
true colors
true colors are shining through
i see your true colors
and thats why i love you
so dont be afraid to let them show
your true colors
true colors are beautiful
like a rainbow","Being one of the few songs on the album not written by Lauper, “True Colors” is still a signature song for the American singer. Lauper came up with “a very, very creative departure from” what songwriters Billy Steinberg and Tom Kelly had originally written and presented to her.

The song became Lauper’s second and final #1 in the US in late 1986. It also was a huge hit internationally, reaching the top 20 in eight other countries including a #12 peak in the UK.

“True Colors” has been covered by many artists including The Weeknd and Phil Collins, who had success with it overseas. The song has also been found in mainstream pop culture many times, from late 80s Kodak commercials to the 2016 film Trolls where it is sung by Justin Timberlake and Anna Kendrick.

Lauper had a friend who’d recently died of AIDS in mind while singing “True Colors”, and over time the song has grown to become an anthem for the LGBT-community. In 2015 Cyndi Lauper opened a shelter for homeless gay, lesbian, bisexual and transgender youth. The shelter was named after this song.

The True Colors Residence, named after her 1986 hit “True Colors,” will be located on West 154th St. near Frederick Douglass Blvd. in Harlem. The residence, the first permanent housing facility of its kind in the city, was conceived by the singer, her manager and the West End Intergenerational Residence, a non-profit focused on providing housing for homeless families and the elderly.","August 25, 1986",1986
cyndi lauper,girls just want to have fun,"
i come home in the morning light
my mother says ""when you gonna live your life right""
oh momma dear were not the fortunate ones
and girls they wanna have fun
oh girls just wanna have fun

the phone rings in the middle of the night
my father yells ""what you gonna do with your life""
oh daddy dear you know youre still number one
but girls they wanna have fun
oh girls just wanna have

thats all they really want
some fun
when the working day is done
oh girls they wanna have fun
oh girls just wanna have fun

girls they want wanna have fun
girls wanna have

some boys take a beautiful girl
and hide her away from the rest of the world
i wanna be the one to walk in the sun
oh girls they wanna have fun
oh girls just wanna have
thats all they really want
is some fun
when the working day is done
oh girls they wanna have fun
oh girls just wanna have fun

girls they want wanna have fun
girls wanna have

they just wanna they just wanna
(girls…)
they just wanna they just wanna
(girls just wanna have fun)
(girls just wanna have fun)
girls just wanna have fun
they just wanna they just wanna
they just wanna they just wanna
(girls…)
they just wanna they just wanna
(girls just wanna have fun)
girls girls just wanna have fun
when the working
when the working day is done
oh when the working day is done
oh girls girls just wanna have fun
they just wanna they just wanna
(girls…)
they just wanna they just wanna
(girls just wanna have fun)
girls girls just wanna have fun
they just wanna they just wanna
when the working
when the working day is done
they just wanna they just wanna
(girls…)
oh when the working day is done
oh girls girls just wanna have fun
girls just wanna have fun
they just wanna they just wanna
they just wanna","Written and demoed by Robert Hazard in 1979, “Girls Just Want to Have Fun” was found and revived by Rick Chertoff and rewritten by Hazard (who retained all songwriting credits) for Cyndi Lauper.

The song was Lauper’s debut single, breakout hit and remains one of her signature songs. It reached the top 5 around the world in early 1984.

Its music video, featuring Lauper’s mother and wrestler Captain Lou Albano as her father, won the Best Female Video at the 1984 MTV Video Music Awards.","September 6, 1983",1983
cyndi lauper,she bop,"
well i see em every night in tight blue jeans
in the pages of a blueboy magazine
hey ive been thinking of a new sensation
im picking up the good vibrations
oop she bop she bop

do i wanna go out with a lions roar
yeah i wanna go south and get me some more
hey they say that a stitch in time saves nine
they say i better stop or ill go blind
oop she bop she bop

she bop he bop a we bop
i bop you bop a they bop
be bop be bop a lu bop
(i hope he will understand)
she bop he bop a we bop
i bop you bop a they bop
be bop be bop a lu she bop
oh she do she bop

hey hey they say i better get a chaperone
because i cant stop messing with the danger zone
i wont worry and i wont fret
aint no law against it yet
oop she bop she bop
she bop he bop a we bop
i bop you bop a they bop
be bop be bop a lu bop
(i hope he will understand)
she bop he bop a we bop
i bop you bop a they bop
be bop be bop a lu she bop
oh she do she bop
she bop he bop a we bop
i bop you bop a they bop
be bop be bop a lu bop
(i hope he will understand)
she bop he bop a we bop
i bop you bop a they bop
be bop be bop a lu she bop
oh she do she bop","Released as the third single from 1983’s “She’s So Unusual”, this song was the first track on side B of the vinyl album.



A somewhat cryptic song that celebrates (female) masturbation, the lyrics were apparently vague enough for some to think it had to do with dancing.","October 18, 1983",1983
the bangles,walk like an egyptian,"
all the old paintings on the tomb
they do the sand dance dont you know
if they move too quick (ohwayoh)
theyre falling down like a domino
all the bazaar men by the nile
they got the money on a bet
gold crocodiles (ohwayoh)
they snap their teeth on your cigarette

foreign types with the hookah pipes say
(wayohwayoh oohwayohwayoh)

walk like an egyptian

the blonde waitresses take their trays
they spin around and they cross the floor
theyve got the moves (ohwayoh)
you drop your drink then they bring you more
all the school kids so sick of books
they like the punk and the metal band
when the buzzer rings (ohwayoh)
theyre walking like an egyptian
all the kids in the marketplace say
(wayohwayoh oohwayohwayoh)

walk like an egyptian

slide your feet up the street bend your back
shift your arm then you pull it back
life is hard you know (ohwayoh)
so strike a pose on a cadillac
if you want to find all the cops
theyre hanging out in the donut shop
they sing and dance (ohwayoh)
they spin the clubs cruise down the block
all the japanese with their yen
the party boys call the kremlin
and the chinese know (ohwayoh)
they walk the line like egyptian

all the cops in the donut shop say
(wayohwayoh oohwayohwayoh)

walk like an egyptian
walk like an egyptian","Walk Like an Egyptian was a million-selling single and became Billboard’s number-one song of 1987.  Nevertheless, the song ended up accelerating the tensions within the group. The original plan for this song called for Debbi Peterson to sing the whole thing, but their producer, David Kahne, decided to have one person sing one verse. There are only three verses, though, so one person would have to get left out. That person ended up being Debbi Peterson, when David Kahne decided to have Micki Steele sing the second verse instead of Debbi (Vicki Peterson sang the first verse and Susanna Hoffs sang the third). Debbi didn’t play drums on the song either, when the producer decided that drum machines were the hip sound of 1987 (which they kinda were – ‘87 was a weird time).

Like most Bangles hits, the Bangles didn’t write this one.  This one’s written by Liam Sternberg.   Over the years, the song has shown up in dozens of movies and TV shows.","January 2, 1986",1986
the bangles,eternal flame,"close your eyes give me your hand darling
do you feel my heart beating
do you understand
do you feel the same
am i only dreaming
is this burning an eternal flame
i believe its meant to be darling
i watch you when you are sleeping
you belong with me
do you feel the same
am i only dreaming
or is this burning an eternal flame
say my name
sun shines through the rain
a whole life so lonely
and then come and ease the pain
i dont want to lose this feeling oh
say my name
sun shines through the rain
a whole life so lonely
and then come and ease the pain
i dont want to lose this feeling oh
close your eyes give me your hand
do you feel my heart beating
do you understand
do you feel the same
am i only dreaming
or is this burning an eternal flame
close your eyes give me your hand darling
do you feel my heart beating
do you understand
do you feel the same
am i only dreaming
is this burning an eternal flame
close your eyes give me your hand darling
do you feel my heart beating
do you understand
do you feel the same
am i only dreaming ah
an eternal flame
close your eyes give me your hand darling
do you feel my heart beating
do you understand
do you feel the same
am i only dreaming ah
is this burning an eternal flame
close your eyes give me your hand darling","Lead singer Susanna Hoffs teamed up with one of the great pop songwriters of the 80s and 90s, Billy Steinberg, to write the perfect finale to The Bangles' career.  With this song and “Walk Like an Egyptian”, the Bangles became only the third girl group to score multiple #1s in the United States, after the Supremes (12) and the Shirelles (2).

Steinberg explains the song’s origins:

Susanna was talking about the Bangles having visited Graceland, and she said there was some type of shrine to Elvis that included some kind of eternal flame. As soon as those words were mentioned, I immediately thought of the synagogue in the town of Palm Springs, California where I grew up. I remember during our Sunday school class they would walk us through the sanctuary. There was one little red light and they told us it was called the eternal flame.","February 17, 1989",1989
the bangles,manic monday,"
six oclock already i was just in the middle of a dream
i was kissin valentino by a crystal blue italian stream
but i cant be late cause then i guess i just wont get paid
these are the days when you wish your bed was already made

its just another manic monday (oohoh)
i wish it were sunday (oohoh)
cause thats my fun day (oohoh)
my i dont have to run day (ooh)
its just another manic monday

have to catch an early train got to be to work by nine
and if i had an aeroplane i still couldnt make it on time
cause it takes me so long just to figure out what im gonna wear
blame it on the train but the boss is already there

its just another manic monday (oohoh)
i wish it were sunday (oohoh)
cause thats my fun day (oohoh)
my i dont have to run day (ooh)
its just another manic monday
of all of my nights
why did my lover have to pick last night to get down (last night last night)
doesnt it matter that i have to feed the both of us
employments down
he tells me in his bedroom voice
""cmon honey lets go make some noise"" (i cant resist)
time it goes so fast (when youre having fun)

its just another manic monday (oohoh)
i wish it were sunday (oohoh)
cause thats my fun day (oohoh)
my i dont have to run day (ooh)
its just another manic monday (oohoh)
i wish it were sunday (oohoh)
cause thats my fun day (oohoh)
its just another manic monday","After Prince became a fan of The Bangles song “Hero Takes A Fall”, he offered the group two songs to record – “Jealous Girl” and “Manic Monday”. They chose “Manic Monday” and released it as the lead single of their sophomore album Different Light.

It became their internationally-successful breakthrough hit, reaching #2 in the US, UK, Germany & Austria, #4 in Switzerland & Norway and #5 in New Zealand.

Prince’s own version was officially released on a 2019 compilation titled Originals which is full of songs he wrote but are best-known as being performed by other artists, such as The Time “Jungle Love”, Sheila E “The Glamorous Life” and Sinead O'Connor “Nothing Compares 2 U”.","January 27, 1986",1986
the bangles,hazy shade of winter,"time time time
see whats become of me
time time time
see whats become of me
while i looked around for my possibilities
i was so hard to please
look around
leaves are brown
and the sky is a hazy shade of winter
hear the salvation army band
down by the riverside
its bound to be a better ride than what youve got planned
carry a cup in your hand
look around
leaves are brown
and the sky is a hazy shade of winter
hang onto your hopes my friend
thats an easy thing to say but if your hopes should pass away
simply pretend
that you can build them again
look around
grass is high
fields are ripe
its the springtime of my life
seasons change with the scenery
weaving time in a tapestry
wont you stop and remember me
look around
leaves are brown
and the sky is a hazy shade of winter
look around
leaves are brown
theres a patch of snow on the ground
look around
leaves are brown
theres a patch of snow on the ground
look around
leaves are brown
theres a patch of snow on the ground","“A Hazy Shade of Winter” is a song written by Paul Simon, recorded and released by Simon & Garfunkel in 1966, covered by The Bangles for the 1987 movie Less Than Zero.

The Bangles keep the lyrics the same, but replaced the acoustic guitars with electric guitars. This version saw a bit more success than the original, peaking at #2 on the Billboard Hot 100.","November 6, 1987",1987
