artist,title,lyrics,genre
Lil Durk,Broadway Girls,"Broadway Girls Lyrics
2 AM at a Broadway bar
She's puttin’ her number in my phone (Broadway girls alone)
Two Bud Lights deep, and she's sayin' things she don’t mean
And you know

I met her down at Aldean's
She said that she saw me walkin' in about a mile away
Bean just had to take her phone and that just took her smile away
She said I'm too drunk and crazy, she don't like the way I dance
I said, ""You don't have to join in,"" she said she'd take a chance
I've been kinda crazy ever since it went down
I get kind of lost, and, baby, this what I found
Girls like you just wanna take me around, around and around

Oh, there’s two things that you’re gonna find out
They don't love you and they only love you right now
If I was smarter, I’da stayed my ass at home
And leave them Broadway girls alone (Leave 'em alone, leave 'em alone)
Them Broadway girls alone (Leave 'em alone, leave ’em alone)
Leave them Broadway girls alone

They town just told me, ""Don't trust 'em""
Broadway girls a trap
They on me, they tryna finesse me
They see me with Morgan and know that I rap
My horse is Porsches, turnin' me on
I jump on a horse, she get on the back
I went to the bar to go buy her a drink
She listen to P!nk, she told me she not into rap
I can't run out of money
The trenches love me forever
They treat me like Ed in London
Take her to pool, then got a beer for nothin'
Tecovas boots, guitar, cigar, the bar
She ridin' a bull like cars, she usually don't cool with stars
Now, there's two things that you're gonna find out
They don't love you and they only love you right now
If I was smarter, I'da stayed my ass at home
And leave them Broadway girls alone
Broadway girls, Broadway girls
Them Broadway girls alone
Broadway girls, Broadway girls
Them Broadway girls alone

Oh, think I oughta settle down
And find me somethin' I can take back to my hometown, oh
But I told 'em that I'm savage
They just tryna tell me there's

There's two things that you're gonna find out
They don't love you and they only love you right now
If I was smarter, I'da stayed my ass at home
And leave them Broadway girls alone
Two things that you're gonna find out
They don't love you and they only love you right now
If I was smarter, I'da stayed my ass at home
And leave them Broadway girls alone
Broadway girls, Broadway girls
Them Broadway girls alone
Broadway girls, Broadway girls
Leave them Broadway girls alone
'Lone, 'lone, Broadway girl
'Lone, 'lone, Broadway girls alone
'Lone, 'lone, Broadway girls
Broadway girls, Broadway girls alone9Embed",country
Taylor Swift,Begin Again,"Begin Again Lyrics
Took a deep breath in the mirror
He didn't like it when I wore high heels
But I do
Turn the lock and put my headphones on
He always said he didn't get this song
But I do, I do

Walked in, expecting you'd be late
But you got here early and you stand and wave
I walk to you
You pull my chair out and help me in
And you don't know how nice that is
But I do

And you throw your head back laughing like a little kid
I think it's strange that you think I'm funny 'cause he never did
I've been spending the last eight months
Thinking all love ever does is break, and burn, and end
But on a Wednesday in a café, I watched it begin again

You said you never met one girl who
Had as many James Taylor records as you
But I do
We tell stories and you don't know why
I'm coming off a little shy
But I do
But you throw your head back laughing like a little kid
I think it's strange that you think I'm funny 'cause he never did
I've been spending the last eight months
Thinking all love ever does is break, and burn, and end
But on a Wednesday in a café, I watched it begin again


And we walked down the block to my car
And I almost brought him up
But you start to talk about the movies
That your family watches every single Christmas
And I want to talk about that
And for the first time, what's past is past

'Cause you throw your head back laughing like a little kid
I think it's strange that you think I'm funny 'cause he never did
I've been spending the last eight months
Thinking all love ever does is break, and burn, and end
But on a Wednesday in a café, I watched it begin again

But on a Wednesday in a café, I watched it begin again40Embed",country
Yelawolf,Till It's Gone,"Till It’s Gone Lyrics
I'm not the table you can come and lay your cup down on now
I’m not the shoulder for a bag, don't wanna carry your heavy load
I'm not the road that you take when you're lookin' for a shortcut, uh
I ain't the steppin' stone, to be steppin' on, I ain't nobody's crutch
I ain't the money man, with your money man, you ain't lookin' at me
I'm not the cheap one, lookin' at me son, you ain't lookin' at free
I ain't the dishrag, to come clean up, all the shit that ya dish out
Ain't got no check for 'em, if you checkin' in
Mothafucka check this out

Ain't much I can do but I do what I can
But I'm not a fool, there's no need to pretend
Just because you got yourself in some shit
It doesn't mean I have to come deal with it
You handle your own when you become a man
And become a man when you handle your own
Ain't much I can do but I do what I can
But what can I do if I do 'til it's gone
Oh, oh, 'til it's gone
Oh, oh, 'til it's gone
Oh, oh, 'til it's gone
Oh, but what can I do if I do 'til it's gone

I'm not the trash can, not the last man at the finish line now
I'm not the new kid, on the block
That you can just follow and push around
I'm not the fuckin' needle in the haystack, that you finally found
This ain't no free rent, come and pitch a tent, you ain't tying me down
I'm not a bus ride you can hop inside, and just roll away clean
Not the wheel on the wagon you wanna break
'Cause I hold up the weight for the team
I'm not the gold watch, and the new truck
That you scheming to check out
Unless you're looking to check out 
What a mess now (c'mon)
Ain't much I can do but I do what I can
But I'm not a fool, there's no need to pretend
Just because you got yourself in some shit
It doesn't mean I have to come deal with it
You handle your own when you become a man
And become a man when you handle your own
Ain't much I can do but I do what I can
But what can I do if I do 'til it's gone
Oh, oh, 'til it's gone
Oh, oh, 'til it's gone
Oh, oh, 'til it's gone
Oh, what can I do if I do 'til it's gone

I jump to the sky for my people
I walk through the fire, I give love when it's equal
Don't tell me not to complain about my money and fame
When you come around and tellin' me I changed
Damn right I fuckin' changed
When this fuckin' change in my pocket
Hit the bucket, it was a rocket all a sudden
I went from shoppin' without nothin'
To goin' shoppin' for my cousins
Now that the cops know that I'm buzzin'
They wanna drop me in the oven
Pull me over just to say ""I'm a fan""
Hip-hop, gotta love it, fuck it
Ain't much I can do but I do what I can
But I'm not a fool, there's no need to pretend
Just because you got yourself in some shit
It doesn't mean I have to come deal with it
You handle your own when you become a man
And become a man when you handle your own
Ain't much I can do but I do what I can
But what can I do if I do 'til it's gone
Oh, oh, 'til it's gone
Oh, oh, 'til it's gone
Oh, oh, 'til it's gone
Oh, what can I do if I do 'til it's gone136Embed",country
Johnny Cash,I Walk The Line,"I Walk The Line Lyrics
I keep a close watch on this heart of mine
I keep my eyes wide open all the time
I keep the ends out for the tie that binds
Because you're mine, I walk the line

I find it very, very easy to be true
I find myself alone when each day is through
Yes, I'll admit that I'm a fool for you
Because you're mine, I walk the line

As sure as night is dark and day is light
I keep you on my mind both day and night
And happiness I've known proves that it's right
Because you're mine, I walk the line

You've got a way to keep me on your side
You give me cause for love that I can't hide
For you, I know I'd even try to turn the tide
Because you're mine, I walk the line

I keep a close watch on this heart of mine
I keep my eyes wide open all the time
I keep the ends out for the tie that binds
Because you're mine, I walk the line22Embed",country
Taylor Swift,Dear John,"Dear John Lyrics
Long were the nights when
My days once revolved around you
Counting my footsteps
Praying the floor won't fall through... again
My mother accused me of losing my mind
But I swore I was fine
You paint me a blue sky
Then go back and turn it to rain
And I lived in your chess game
But you changed the rules everyday
Wonderin' which version of you I might get on the phone, tonight
Well, I stopped pickin' up and this song is to let you know why

Dear John, I see it all now that you're gone
Don't you think I was too young to be messed with?
The girl in the dress cried the whole way home
I should've known

Well, maybe it's me
And my blind optimism to blame
Or maybe it's you and your sick need
To give love and take it away
And you'll add my name to your long list of traitors
Who don't understand
And I look back in regret how I ignored when they said
""Run as fast as you can""
Dear John, I see it all now that you're gone
Don't you think I was too young to be messed with?
The girl in the dress cried the whole way home
Dear John, I see it all now, it was wrong
Don't you think nineteen's too young
To be played by your dark, twisted games
When I loved you so?
I should've known

You are an expert at sorry
And keeping lines blurry
Never impressed by me acing your tests
All the girls that you've run dry have tired lifeless eyes
'Cause you burned them out
But I took your matches
Before fire could catch me
So don't look now
I'm shining like fireworks
Over your sad empty town, yeah
Oh, oh, oh, oh, oh, oh

Dear John, I see it all now that you're gone
Don't you think I was too young to be messed with?
The girl in the dress cried the whole way home
I see it all now that you're gone
Don't you think I was too young to be messed with?
The girl in the dress wrote you a song
You should've known
You should've known
Don't you think I was too young?
You should've known45Embed",country
Taylor Swift,Enchanted,"Enchanted Lyrics
There I was again tonight
Forcing laughter, faking smiles
Same old tired, lonely place
Walls of insincerity, shifting eyes and vacancy
Vanished when I saw your face
All I can say is, it was enchanting to meet you
Your eyes whispered, ""Have we met?""
'Cross the room your silhouette
Starts to make its way to me
The playful conversation starts
Counter all your quick remarks
Like passing notes in secrecy

And it was enchanting to meet you
All I can say is, I was enchanted to meet you
This night is sparkling
Don't you let it go
I'm wonderstruck
Blushing all the way home
I'll spend forever
Wondering if you knew
I was enchanted to meet you
The lingering question kept me up
2 AM, who do you love?
I wonder 'til I'm wide awake
And now I'm pacing back and forth
Wishing you were at my door
I'd open up and you would say, ""Hey""

It was enchanting to meet you
All I know is I was enchanted to meet you

This night is sparkling
Don't you let it go
I'm wonderstruck
Blushing all the way home
I'll spend forever
Wondering if you knew
This night is flawless
Don't you let it go
I'm wonderstruck
Dancing around all alone
I'll spend forever
Wondering if you knew
I was enchanted to meet you

This is me praying that
This was the very first page
Not where the storyline ends
My thoughts will echo your name
Until I see you again
These are the words I held back
As I was leaving too soon
I was enchanted to meet you

Please don't be in love
With someone else
Please don't have somebody
Waiting on you
Please don't be in love (Ooh)
With someone else
Please don't have somebody (Ooh, hey)
Waiting on you

This night is sparkling
Don't you let it go
I'm wonderstruck
Blushing all the way home
I'll spend forever
Wondering if you knew
This night is flawless (Please don't be in love with someone else)
Don't you let it go
I'm wonderstruck (Please don't have somebody waiting on you)
Dancing around all alone
I'll spend forever (Please don't be in love with someone else)
Wondering if you knew
I was enchanted to meet you
Please don't be in love
With someone else
Please don't have somebody
Waiting on you61Embed",country
Taylor Swift,I Bet You Think About Me (Taylor's Version) [From the Vault],"I Bet You Think About Me (Taylor’s Version)  Lyrics
3 AM and I'm still awake, I'll bet you're just fine
Fast asleep in your city that's better than mine
And the girl in your bed has a fine pedigree
And I'll bet your friends tell you she's better than me, huh

Well, I tried to fit in with your upper-crust circles
Yeah, they let me sit in back when we were in love
Oh, they sit around talkin' about the meaning of life
And the book that just saved 'em that I hadn't heard of

But now that we're done and it's over
I bet you couldn't believe
When you realized I'm harder to forget than I was to leave
And I bet you think about me

You grew up in a silver-spoon gated community
Glamorous, shiny, bright Beverly Hills
I was raised on a farm, no, it wasn't a mansion
Just livin' room dancin' and kitchen table bills

But you know what they say, you can't help who you fall for
And you and I fell like an early spring snow
But reality crept in, you said we're too different
You laughed at my dreams, rolled your eyes at my jokes
Mr. Superior Thinkin'
Do you have all the space that you need?
I don't have to be your shrink to know that you'll never be happy
And I bet you think about me

I bet you think about me, yes
I bet you think about me

Oh, block it all out
The voices so loud, sayin'
""Why did you let her go?""
Does it make you feel sad
That the love that you're lookin' for
Is the love that you had?

Now you're out in the world, searchin' for your soul
Scared not to be hip, scared to get old
Chasing make-believe status, last time you felt free
Was when none of that shit mattered 'cause you were with me

But now that we're done and it's over
I bet it's hard to believe
But it turned out I'm harder to forget than I was to leave
And, yeah, I bet you think about me
I bet you think about me, yes
I bet you think about me

I bet you think about me when you're out
At your cool indie music concerts every week
I bet you think about me in your house
With your organic shoes and your million-dollar couch
I bet you think about me when you say
""Oh my god, she's insane, she wrote a song about me""
I bet you think about me34Embed",country
Miley Cyrus,Angels Like You,"Angels Like You Lyrics
Mmm, mmm, mmm

Flowers in hand, waiting for me
Every word in poetry
Won't call me by name, only ""baby""
The more that you give, the less that I need
Everyone says I look happy
When it feels right

I know that you're wrong for me
Gonna wish we never met on the day I leave
I brought you down to your knees
'Cause they say that misery loves company
It's not your fault I ruin everything
And it's not your fault I can't be what you need
Baby, angels like you can't fly down here with me

I'm everything they said I would be
La, la, la
I'm everything they said I would be

I'll put you down slow, love you goodbye
Before you let go, just one more time
Take off your clothes, pretend that it's fine
A little more hurt won't kill you
Tonight, mother says you don't look happy
Close your eyes
I know that you're wrong for me
Gonna wish we never met on the day I leave
I brought you down to your knees
'Cause they say that misery loves company
It's not your fault I ruin everything
And it's not your fault I can't be what you need
Baby, angels like you can't fly down here with me

I'm everything they said I would be
La, la, la, la
La, la, la
La, la, la
Oh, ah, ah
Ah, oh
Ah, oh

I know that you're wrong for me
Gonna wish we never met on the day I leave
I brought you down to your knees
'Cause they say that misery loves company
It's not your fault I ruin everything (Everything)
And it's not your fault I can't be what you need
Baby, angels like you can't fly down here with me, oh
Angels like you can't fly down here with me56Embed",country
Brad Paisley,Whiskey Lullaby,"Whiskey Lullaby Lyrics
She put him out
Like the burnin' end of a midnight cigarette
She broke his heart
He spent his whole life tryin' to forget
We watched him drink his pain away
A little at a time
But he never could get drunk enough
To get her off his mind
Until the night

He put that bottle to his head
And pulled the trigger
And finally drank away her memory
Life is short, but this time it was bigger
Than the strength he had to get up off his knees
We found him with his face down in the pillow
With a note that said, ""I'll love her 'til I die""
And when we buried him beneath the willow
The Angels sang a whiskey lullaby

La la la la la la la, la la la la la la laa
La la la la la la la, la la la la la la laa
The rumors flew
But nobody knew how much she blamed herself
For years and years
She tried to hide the whiskey on her breath
She finally drank her pain away
A little at a time
But she never could get drunk enough
To get him off her mind
Until the night...

She put that bottle to her head
And pulled the trigger
And finally drank away his memory
Life is short, but this time it was bigger
Than the strength she had to get up off her knees
We found her with her face down in the pillow
Clinging to his picture for dear life
We laid her next to him beneath the willow
While the Angels sang a whiskey lullaby

La la la la la la la, la la la la la la laa
La la la la la la la, la la la la la la laa
La la la la la la la, la la la la la la laa
La la la la la la la, la la la la la la laa43Embed",country
Tyler Childers,Feathered Indians,"Feathered Indians Lyrics
Well my buckle makes impressions
On the inside of her thigh
There are little feathered Indians
Where we tussled through the night
If I'd known she was religious
Then I wouldn't have came stoned
To the house of such an angel
Too fucked up to get back home

Lookin' over West Virginia
Smoking Spirits on the roof
She asked ain't anybody told ya
That them things are bad for you
I said many folks have warned me
There's been several people try
But up 'til now, there ain't been nothing
That I couldn't leave behind

Hold me close my dear
Sing your whispering song
Softly in my ear
And I will sing along
Honey tell me how your love runs true
And how I can always count on you
To be there when the bullets fly
I'd run across the river just to hold you tonight
Well my heart is sweating bullets
From the circles it has raced
Like a little feathered indian
Callin' out the clouds for rain
I'd go runnin' through the thicket
I'd go careless through the thorns
Just to hold her for a minute
Though it'd leave me wanting more

Hold me close my dear
Sing your whispering song
Softly in my ear
And I will sing along
Honey tell me how your love runs true
And how I can always count on you
To be there when the bullets fly
I'd run across the river just to hold you tonight1Embed",country
Daft Punk,Get Lucky,"Get Lucky Lyrics
Like the legend of the phoenix, huh
All ends with beginnings
What keeps the planet spinning, uh-huh
The force from the beginning
Look

We've come too far
To give up who we are
So let's raise the bar
And our cups to the stars

She's up all night 'til the sun
I'm up all night to get some
She's up all night for good fun
I'm up all night to get lucky
We're up all night 'til the sun
We're up all night to get some
We're up all night for good fun
We're up all night to get lucky
We're up all night to get lucky
We're up all night to get lucky
We're up all night to get lucky
We're up all night to get lucky
The present has no ribbon
Your gift keeps on giving
What is this I'm feeling?
If you wanna leave, I'm with it, uh-huh

We've come too far
To give up who we are
So let's raise the bar
And our cups to the stars

She's up all night 'til the sun
I'm up all night to get some
She's up all night for good fun
I'm up all night to get lucky
We're up all night 'til the sun
We're up all night to get some
We're up all night for good fun
We're up all night to get lucky
We're up all night to get lucky
We're up all night to get lucky
We're up all night to get lucky
We're up all night to get lucky
She's up all night 'til the sun
I'm up all night to get some
She's up all night for good fun
I'm up all night to get lucky
We're up all night 'til the sun
We're up all night to get some
We're up all night for good fun
We're up all night to get lucky
We're up all night to get lucky
We're up all night to get lucky
We're up all night to get lucky
We're up all night to get lucky

She's up all night 'til the sun
I'm up all night to get some
She's up all night for good fun
I'm up all night to get lucky
We're up all night 'til the sun
We're up all night to get some
We're up all night for good fun
We're up all night to get lucky
We're up all night to get lucky
We're up all night to get lucky
We're up all night to get lucky
We're up all night to get lucky
We're up all night to get
We're up all night to get
We're up all night to get
We're up all night to get
We're up all night to get
We're up all night to get
We're up all night to get
We're up all night to get
We're up all night to get back together
We're up all night to get (Let's get funked again)
We're up all night to get (Funky)
We're up all night to get lucky
We're up all night to get lucky
We're up all night to get lucky
We're up all night to get lucky
We're up all night to get lucky
We're up all night to get lucky
We're up all night to get lucky
We're up all night to get lucky
We're up all night to get lucky

We've come too far
To give up who we are
So let's raise the bar
And our cups to the stars

She's up all night 'til the sun
I'm up all night to get some
She's up all night for good fun
I'm up all night to get lucky
We're up all night 'til the sun
We're up all night to get some
We're up all night for good fun
We're up all night to get lucky
We're up all night to get lucky
We're up all night to get lucky
We're up all night to get lucky
We're up all night to get lucky

We're up all night to get lucky
We're up all night to get lucky
We're up all night to get lucky
We're up all night to get lucky
We're up all night to get lucky
We're up all night to get lucky
We're up all night to get lucky
We're up all night to get lucky
We're up all night to get lucky
We're up all night to get lucky
We're up all night to get lucky
We're up all night to get lucky449Embed",pop
